F3:13:3E:5F:FE:56,1836,1832,1826,1833,1836,1827,1833,4200,0,0 
F3:13:3E:5F:FE:56,1835,1827,1833,1832,1826,1836,1834,4340,0,0 
F3:13:3E:5F:FE:56,1830,1833,1833,1829,1835,1835,1830,4480,0,0 
F3:13:3E:5F:FE:56,1838,1836,1830,1837,1838,1828,1836,4620,0,0 
F3:13:3E:5F:FE:56,1838,1828,1836,1839,1829,1838,1839,4760,0,0 
F3:13:3E:5F:FE:56,1832,1836,1835,1828,1839,1839,1830,4900,0,0 
F3:13:3E:5F:FE:56,1843,1839,1833,1839,1843,1836,1843,5040,0,0 
F3:13:3E:5F:FE:56,1845,1831,1842,1845,1833,1845,1842,5180,0,0 
F3:13:3E:5F:FE:56,1836,1842,1844,1834,1845,1842,1833,5320,0,0 
F3:13:3E:5F:FE:56,1853,1844,1833,1848,1844,1832,1844,5460,0,0 
F3:13:3E:5F:FE:56,1843,1833,1846,1849,1836,1849,1847,5600,0,0 
